codigo_cups,descripcion
391013,Facoemulsificacion con lente intraocular
391121,Apendicectomia
391201,Angioplastia coronaria
739001,Atencion del parto
871111,Radiografia de torax
881201,Ecografia abdominal total
881332,Ecografia obstetrica
890201,Consulta de primera vez medicina general
890301,Consulta de control por especialista
890415,Control prenatal
890701,Electrocardiograma
902210,Hemograma completo
903841,Glicemia basal
903875,Parcial de orina
930601,Tomografia axial computarizada de torax
930878,Reduccion cerrada de fractura de peroné
990601,Interconsulta psiquiatria
