feature,importancia
num__codigo_hc_fue_facturado_en_atencion,0.07983964789106177
num__codigo_facturado_tiene_soporte_en_atencion,0.07460473874624295
num__cantidad_facturada,0.05429553352209605
num__valor_total,0.052942745673241996
num__valor_unitario,0.046434210032568195
num__dias_atencion_a_facturacion,0.03926508943603052
num__edad,0.03445161807506136
num__cups_no_facturados_count,0.032593124973322826
num__proporcion_cups_sin_soporte,0.03200593644285098
num__mes_atencion,0.029070003806258637
num__cups_sin_soporte_count,0.027779656968419917
num__proporcion_cups_con_soporte,0.026471843211504763
num__cups_con_soporte_count,0.02287852513281947
num__total_cups_pf,0.013532144010086344
cat__tipo_item_consulta,0.013196600696815258
num__cantidad_realizada,0.010590516210196872
cat__tipo_item_examen,0.010365906924822582
num__total_cups_hc,0.010169396641451875
cat__soporte_clinico_NO,0.009584441346494528
cat__tipo_item_SIN_DATO,0.009234056704873008
cat__profesional_responsable_SIN_DATO,0.008975290725374788
cat__soporte_clinico_SI,0.008256838886148362
cat__sede_Sede Sur,0.008138678712542643
cat__tipo_afiliacion_Subsidiado,0.007874373518951318
cat__sexo_M,0.007447407756273033
cat__tipo_documento_TI,0.007360579059886809
cat__tipo_afiliacion_Contributivo,0.007205812200462864
cat__tipo_documento_CC,0.007112976759327569
cat__ciudad_Bucaramanga,0.006778272828480271
cat__tipo_atencion_Urgencias,0.006669422337931076
cat__sexo_F,0.006645552175763776
cat__diagnostico_principal_cie10_I10X,0.006605151500543156
cat__grupo_etario_18-39,0.006529809743057538
num__es_urgencia,0.006424377174497885
cat__tipo_documento_RC,0.006282253789386598
cat__grupo_etario_40-59,0.0061936875555745055
cat__ciudad_Cali,0.006144377571800337
cat__sede_Sede Norte,0.006042987148110763
cat__eps_atencion_Nueva EPS,0.005820844572283931
cat__tipo_documento_CE,0.005806661783413979
cat__sede_Sede Centro,0.005788724113408763
cat__sede_Sede Urgencias,0.0056251660204710415
cat__eps_atencion_Coosalud,0.005590523675250556
num__es_ambulatorio,0.0055057833068984765
cat__tipo_atencion_Hospitalizacion,0.005365154674932051
cat__ciudad_Barranquilla,0.005019094987934672
cat__grupo_etario_60-79,0.005016820956614301
num__es_hospitalario,0.0049495543993072835
cat__eps_atencion_Compensar,0.004734857655425543
cat__grupo_etario_0-17,0.004717767011090722
cat__grupo_etario_80+,0.004683290376277291
num__servicio_alto_valor_ambulatorio,0.004668789430441055
cat__tipo_atencion_Ambulatoria,0.0045289290370828855
cat__eps_atencion_Famisanar,0.0045003394419081836
cat__ciudad_Medellin,0.004369853610263641
cat__ciudad_Bogota,0.004346492832391119
cat__eps_atencion_Sanitas,0.0040699133810728665
cat__eps_atencion_Sura EPS,0.004049785974961151
cat__diagnostico_principal_cie10_K358,0.0038190332796703363
cat__diagnostico_principal_cie10_O800,0.003508126452089783
cat__medico_tratante_MED-016,0.0034816904591101283
cat__diagnostico_principal_cie10_E119,0.003462301394816793
cat__tipo_item_tratamiento,0.0034489238393932125
cat__diagnostico_principal_cie10_F411,0.0033909352944843374
num__tratamiento_complejo_hospitalario,0.003353069972140836
cat__diagnostico_principal_cie10_N390,0.0033088615625843786
cat__diagnostico_principal_cie10_M545,0.00321047376078425
cat__profesional_responsable_MED-016,0.0031665997261979815
cat__diagnostico_principal_cie10_I219,0.003058460119750947
cat__medico_tratante_MED-014,0.003002234033183671
cat__diagnostico_principal_cie10_J189,0.002932830740400497
cat__profesional_responsable_MED-014,0.002894283391813513
cat__diagnostico_principal_cie10_C349,0.002472740798431909
cat__diagnostico_principal_cie10_Z348,0.0022908738593870616
cat__medico_tratante_MED-032,0.0022901995044223317
cat__medico_tratante_MED-033,0.002258361694787647
cat__diagnostico_principal_cie10_A090,0.0021399044904301394
cat__profesional_responsable_MED-033,0.0021056824754319085
cat__medico_tratante_MED-039,0.0020679263784681816
cat__medico_tratante_MED-037,0.0020237719747345103
cat__profesional_responsable_MED-007,0.0020066910283262074
cat__diagnostico_principal_cie10_S824,0.0019817180603977106
cat__medico_tratante_MED-007,0.0019350830155081356
cat__diagnostico_principal_cie10_R073,0.0019192405976186787
cat__medico_tratante_MED-018,0.0018902562816663897
cat__profesional_responsable_MED-032,0.0018891753445263704
cat__profesional_responsable_MED-037,0.0018767331700244732
cat__medico_tratante_MED-038,0.001862450633951294
cat__profesional_responsable_MED-039,0.00182726515250129
cat__profesional_responsable_MED-038,0.001746522674015524
cat__profesional_responsable_MED-004,0.0016770911480789514
cat__medico_tratante_MED-021,0.0016573089268852254
cat__diagnostico_principal_cie10_H269,0.0016446772296489361
cat__medico_tratante_MED-030,0.0016012378652576654
cat__medico_tratante_MED-008,0.0015616687205565788
cat__profesional_responsable_MED-008,0.0015429083705763259
cat__profesional_responsable_MED-019,0.001511785449279241
cat__profesional_responsable_MED-028,0.0014806573006192225
cat__medico_tratante_MED-004,0.0014606770103986271
cat__profesional_responsable_MED-030,0.001458590865938537
cat__profesional_responsable_MED-021,0.0013774876382258807
cat__profesional_responsable_MED-020,0.0013720042974715789
cat__medico_tratante_MED-019,0.0013247549846508784
cat__medico_tratante_MED-020,0.001301991046860385
cat__profesional_responsable_MED-001,0.0012884136571582518
cat__medico_tratante_MED-001,0.0012518038629718107
cat__medico_tratante_MED-028,0.0012245008682570779
cat__medico_tratante_MED-024,0.0012241298910567163
cat__medico_tratante_MED-025,0.0011664834809526816
cat__medico_tratante_MED-012,0.0011657291101575338
cat__profesional_responsable_MED-018,0.0011644255527461227
cat__medico_tratante_MED-017,0.0011555167562525097
cat__profesional_responsable_MED-035,0.0011381464594821958
cat__profesional_responsable_MED-025,0.0011120723717896997
cat__profesional_responsable_MED-024,0.0011016520728000295
cat__medico_tratante_MED-034,0.0010670588121885034
cat__profesional_responsable_MED-006,0.0010579951293550622
cat__profesional_responsable_MED-017,0.0009940909545927863
cat__profesional_responsable_MED-003,0.0009752644393827811
cat__medico_tratante_MED-003,0.0009689728396817957
cat__profesional_responsable_MED-012,0.0009650302984181361
cat__medico_tratante_MED-029,0.0009583089409569647
cat__profesional_responsable_MED-029,0.000944892323597265
cat__medico_tratante_MED-036,0.0009324967579812863
cat__medico_tratante_MED-035,0.0009276270088746732
cat__medico_tratante_MED-006,0.0008983662679607396
cat__medico_tratante_MED-031,0.0008967443457004368
cat__profesional_responsable_MED-034,0.0008527985013612062
cat__medico_tratante_MED-013,0.0008299143725232057
cat__medico_tratante_MED-005,0.0008193700599987812
cat__medico_tratante_MED-010,0.0008156748119284706
cat__medico_tratante_MED-026,0.0008025788287675113
cat__profesional_responsable_MED-009,0.000798594086119888
cat__profesional_responsable_MED-031,0.0007603144935610434
cat__medico_tratante_MED-011,0.0007212985473986863
cat__profesional_responsable_MED-011,0.0007001056875371888
cat__medico_tratante_MED-009,0.0006877683617966933
cat__profesional_responsable_MED-005,0.0006788134135741017
cat__profesional_responsable_MED-013,0.000670211458711288
cat__profesional_responsable_MED-026,0.0006623682497209658
cat__profesional_responsable_MED-010,0.0006583235908718518
cat__medico_tratante_MED-022,0.0006231411679376503
cat__profesional_responsable_MED-036,0.0005910373508163911
