feature,importancia
num__codigo_hc_fue_facturado_en_atencion,0.17519817
num__codigo_facturado_tiene_soporte_en_atencion,0.081393436
num__cantidad_facturada,0.021072535
num__cantidad_realizada,0.019662581
cat__grupo_etario_80+,0.013981603
cat__medico_tratante_MED-019,0.013890794
num__cups_sin_soporte_count,0.011504504
cat__diagnostico_principal_cie10_F411,0.011393672
cat__medico_tratante_MED-038,0.011236739
cat__medico_tratante_MED-032,0.009640047
cat__diagnostico_principal_cie10_I10X,0.00932728
cat__profesional_responsable_MED-038,0.008908233
cat__medico_tratante_MED-036,0.008875272
cat__medico_tratante_MED-016,0.008764862
cat__medico_tratante_MED-005,0.008493339
cat__medico_tratante_MED-014,0.008170398
cat__profesional_responsable_MED-019,0.007920174
cat__medico_tratante_MED-007,0.007907633
cat__medico_tratante_MED-030,0.007774367
cat__medico_tratante_MED-037,0.0077227373
cat__medico_tratante_MED-018,0.0076055247
cat__medico_tratante_MED-010,0.00755909
cat__profesional_responsable_MED-026,0.007521644
cat__medico_tratante_MED-027,0.0073800483
cat__medico_tratante_MED-015,0.0069129146
cat__diagnostico_principal_cie10_M545,0.0068440307
cat__medico_tratante_MED-024,0.0067632324
cat__diagnostico_principal_cie10_K358,0.0067471527
cat__medico_tratante_MED-004,0.0065410817
cat__profesional_responsable_MED-036,0.0064419108
cat__profesional_responsable_MED-033,0.0063615683
cat__grupo_etario_40-59,0.006333534
cat__diagnostico_principal_cie10_E119,0.006333342
num__total_cups_hc,0.0060275286
cat__profesional_responsable_MED-025,0.006004228
cat__medico_tratante_MED-028,0.0059374627
cat__profesional_responsable_MED-040,0.0059067295
cat__medico_tratante_MED-035,0.00581508
num__cups_no_facturados_count,0.0057754656
cat__profesional_responsable_MED-032,0.005765405
cat__profesional_responsable_MED-037,0.0056291996
cat__medico_tratante_MED-001,0.005617413
cat__diagnostico_principal_cie10_Z348,0.0055993893
cat__medico_tratante_MED-034,0.005585494
cat__medico_tratante_MED-012,0.005582187
cat__sexo_M,0.005438067
cat__profesional_responsable_MED-005,0.005320537
cat__profesional_responsable_MED-012,0.0053151352
cat__tipo_documento_CE,0.0052410373
cat__tipo_atencion_Hospitalizacion,0.005227715
num__es_urgencia,0.0052216034
