feature,importancia
cat__tipo_item_SIN_DATO,0.11736296
num__cantidad_facturada,0.043662455
num__cantidad_realizada,0.035769466
cat__medico_tratante_MED-019,0.019772945
cat__medico_tratante_MED-005,0.013483473
cat__tipo_item_tratamiento,0.012581205
cat__medico_tratante_MED-020,0.011510101
cat__profesional_responsable_MED-005,0.011473216
cat__tipo_item_consulta,0.011424193
cat__medico_tratante_MED-040,0.011302892
cat__diagnostico_principal_cie10_F411,0.0111479685
cat__medico_tratante_MED-016,0.010801922
cat__medico_tratante_MED-030,0.010529634
cat__diagnostico_principal_cie10_E119,0.01037135
cat__diagnostico_principal_cie10_M545,0.010171398
cat__medico_tratante_MED-014,0.010060083
cat__diagnostico_principal_cie10_I10X,0.009181849
cat__medico_tratante_MED-038,0.009162467
cat__profesional_responsable_MED-020,0.008998446
cat__profesional_responsable_MED-038,0.008968855
num__valor_total,0.008833752
cat__medico_tratante_MED-006,0.008518318
cat__profesional_responsable_MED-009,0.008406757
cat__profesional_responsable_MED-001,0.008128179
num__valor_unitario,0.008117547
cat__tipo_atencion_Ambulatoria,0.007989799
cat__medico_tratante_MED-033,0.007874553
cat__medico_tratante_MED-035,0.007813087
cat__medico_tratante_MED-039,0.007699885
cat__medico_tratante_MED-004,0.007614189
cat__profesional_responsable_MED-035,0.0076114456
cat__medico_tratante_MED-010,0.007606711
cat__medico_tratante_MED-032,0.007516472
cat__medico_tratante_MED-021,0.0074491035
cat__profesional_responsable_MED-018,0.0074486607
cat__diagnostico_principal_cie10_S824,0.0074206595
cat__diagnostico_principal_cie10_R073,0.007332895
cat__medico_tratante_MED-023,0.0072774594
cat__diagnostico_principal_cie10_Z348,0.0072582555
cat__medico_tratante_MED-001,0.007230128
cat__eps_atencion_Famisanar,0.0071019344
cat__diagnostico_principal_cie10_O800,0.007092472
cat__medico_tratante_MED-036,0.007058676
cat__tipo_afiliacion_Contributivo,0.0070140245
cat__diagnostico_principal_cie10_C349,0.0069565396
cat__medico_tratante_MED-011,0.006954422
cat__diagnostico_principal_cie10_A090,0.006791477
cat__sede_Sede Norte,0.0067601926
cat__medico_tratante_MED-027,0.006665829
cat__eps_atencion_Sura EPS,0.0066363798
cat__medico_tratante_MED-034,0.006599914
cat__tipo_item_examen,0.00653834
cat__eps_atencion_Coosalud,0.006513006
cat__tipo_documento_TI,0.0065042293
cat__profesional_responsable_MED-019,0.006483291
cat__tipo_atencion_Hospitalizacion,0.006395465
cat__tipo_atencion_Urgencias,0.006347312
cat__profesional_responsable_MED-010,0.006223888
cat__medico_tratante_MED-017,0.0061889766
cat__medico_tratante_MED-008,0.0061200936
cat__medico_tratante_MED-012,0.0059881727
num__mes_atencion,0.005968307
cat__diagnostico_principal_cie10_I219,0.0059381337
cat__medico_tratante_MED-015,0.0058809672
cat__profesional_responsable_MED-040,0.0058559533
cat__diagnostico_principal_cie10_H269,0.0058242446
cat__eps_atencion_Compensar,0.0058124843
cat__medico_tratante_MED-018,0.0058054854
cat__eps_atencion_Sanitas,0.0058012656
cat__eps_atencion_Nueva EPS,0.0057718344
cat__ciudad_Medellin,0.0057609873
cat__ciudad_Barranquilla,0.005752088
cat__profesional_responsable_MED-008,0.005612029
num__edad,0.005584975
cat__tipo_documento_CE,0.0055425083
cat__medico_tratante_MED-024,0.005536135
cat__sexo_F,0.005531002
cat__medico_tratante_MED-007,0.0054937988
cat__medico_tratante_MED-026,0.0054624346
cat__profesional_responsable_MED-016,0.0054377005
cat__diagnostico_principal_cie10_K358,0.005372402
cat__medico_tratante_MED-025,0.00529794
cat__profesional_responsable_MED-032,0.005292872
cat__medico_tratante_MED-028,0.0052687847
cat__profesional_responsable_MED-003,0.0051894276
cat__ciudad_Cali,0.00518513
cat__ciudad_Bucaramanga,0.0051697604
cat__diagnostico_principal_cie10_J189,0.005165286
cat__diagnostico_principal_cie10_N390,0.0051260153
cat__medico_tratante_MED-022,0.0050774333
cat__ciudad_Bogota,0.005045666
cat__profesional_responsable_MED-031,0.004957517
cat__tipo_documento_CC,0.0049335696
cat__sede_Sede Sur,0.004900662
cat__medico_tratante_MED-013,0.004855642
cat__medico_tratante_MED-031,0.0048491545
cat__medico_tratante_MED-037,0.0048211413
cat__profesional_responsable_MED-006,0.0046839355
cat__medico_tratante_MED-003,0.0046450845
cat__sede_Sede Centro,0.0045945095
cat__profesional_responsable_MED-013,0.0045805974
cat__profesional_responsable_MED-026,0.00450619
cat__profesional_responsable_MED-023,0.004453719
